clase_hog,descripcion,,educa_jefe,descripcion,,est_socio,descripcion,,sexo,descripcion,,tam_loc,descripcion,,,,,,ubica_geo,cve_ent,nom_ent,cve_mun,nom_mun
,,,,,,,,,,,,,,,,,,,140550000,14,Oaxaca,55,San Francisco del Mar
,,,,,,,,,,,,,,,,,,,140590000,14,Oaxaca,59,San Francisco Telixtlahuaca
,,,,,,,,,,,,,,,,,,,140630000,14,Oaxaca,63,San Juan Bautista Tuxtepec
,,,,,,,,,,,,,,,,,,,140670000,14,Oaxaca,67,San Juan Cotzoc�ón
,,,,,,,,,,,,,,,,,,,140690000,14,Oaxaca,69,San Mateo Pi�ñas
,,,,,,,,,,,,,,,,,,,140700000,14,Oaxaca,70,San Pedro Ixtlahuaca
,,,,,,,,,,,,,,,,,,,140730000,14,Oaxaca,73,Villa de Tututepec de Melchor Ocampo
,,,,,,,,,,,,,,,,,,,140830000,14,Oaxaca,83,Santa Cruz Xoxocotl�án
,,,,,,,,,,,,,,,,,,,140890000,14,Oaxaca,89,Santa Luc�ía del Camino
,,,,,,,,,,,,,,,,,,,140900000,14,Oaxaca,90,Santa Mar�ía Huatulco
,,,,,,,,,,,,,,,,,,,140920000,14,Oaxaca,92,Santa Mar�ía Tonameca
,,,,,,,,,,,,,,,,,,,140930000,14,Oaxaca,93,Santiago Atitl�án
,,,,,,,,,,,,,,,,,,,140970000,14,Oaxaca,97,Santiago Llano Grande
,,,,,,,,,,,,,,,,,,,140980000,14,Oaxaca,98,Santiago Pinotepa Nacional
,,,,,,,,,,,,,,,,,,,141000000,14,Oaxaca,100,Santo Domingo Zanatepec
,,,,,,,,,,,,,,,,,,,141010000,14,Oaxaca,101,Tlacolula de Matamoros
,,,,,,,,,,,,,,,,,,,141050000,14,Puebla,105,Amozoc
,,,,,,,,,,,,,,,,,,,141070000,14,Puebla,107,Cuautlancingo
,,,,,,,,,,,,,,,,,,,141140000,14,Puebla,114,Esperanza
,,,,,,,,,,,,,,,,,,,141160000,14,Puebla,116,Huauchinango
,,,,,,,,,,,,,,,,,,,141200000,14,Puebla,120,Huejotzingo
,,,,,,,,,,,,,,,,,,,141210000,14,Puebla,121,Hueytamalco
,,,,,,,,,,,,,,,,,,,141240000,14,Puebla,124,Juan C. Bonilla
,,,,,,,,,,,,,,,,,,,141250000,14,Puebla,125,Nopalucan
,,,,,,,,,,,,,,,,,,,150020000,15,Puebla,2,Ocoyucan
,,,,,,,,,,,,,,,,,,,150030000,15,Puebla,3,Puebla
,,,,,,,,,,,,,,,,,,,150050000,15,Puebla,5,San Andr�és Cholula
,,,,,,,,,,,,,,,,,,,150070000,15,Puebla,7,San Pedro Cholula
,,,,,,,,,,,,,,,,,,,150090000,15,Puebla,9,Teotlalco
,,,,,,,,,,,,,,,,,,,150110000,15,Puebla,11,Tlachichuca
,,,,,,,,,,,,,,,,,,,150130000,15,Puebla,13,Tlahuapan
,,,,,,,,,,,,,,,,,,,150170000,15,Puebla,17,Xicotepec
,,,,,,,,,,,,,,,,,,,150180000,15,Puebla,18,Zihuateutla
,,,,,,,,,,,,,,,,,,,150200000,15,Quer�étaro,20,Amealco de Bonfil
,,,,,,,,,,,,,,,,,,,150230000,15,Quer�étaro,23,Cadereyta de Montes
,,,,,,,,,,,,,,,,,,,150240000,15,Quer�étaro,24,Corregidora
,,,,,,,,,,,,,,,,,,,150250000,15,Quer�étaro,25,Ezequiel Montes
,,,,,,,,,,,,,,,,,,,150260000,15,Quer�étaro,26,Huimilpan
,,,,,,,,,,,,,,,,,,,150280000,15,Quer�étaro,28,Jalpan de Serra
,,,,,,,,,,,,,,,,,,,150290000,15,Quer�étaro,29,Landa de Matamoros
,,,,,,,,,,,,,,,,,,,150310000,15,Quer�étaro,31,El Marqu�és
,,,,,,,,,,,,,,,,,,,150320000,15,Quer�étaro,32,Pedro Escobedo
,,,,,,,,,,,,,,,,,,,150330000,15,Quer�étaro,33,Quer�étaro
,,,,,,,,,,,,,,,,,,,150350000,15,Quer�étaro,35,San Joaqu�ín
,,,,,,,,,,,,,,,,,,,150360000,15,Quer�étaro,36,San Juan del R�ío
,,,,,,,,,,,,,,,,,,,150370000,15,Quer�étaro,37,Tequisquiapan
,,,,,,,,,,,,,,,,,,,150390000,15,Quintana Roo,39,Felipe Carrillo Puerto
,,,,,,,,,,,,,,,,,,,150440000,15,Quintana Roo,44,Oth�ón P. Blanco
,,,,,,,,,,,,,,,,,,,150450000,15,Quintana Roo,45,Benito Ju�árez
,,,,,,,,,,,,,,,,,,,150460000,15,Quintana Roo,46,Jos�é Mar�ía Morelos
,,,,,,,,,,,,,,,,,,,150470000,15,Quintana Roo,47,Tulum
,,,,,,,,,,,,,,,,,,,150510000,15,Quintana Roo,51,Bacalar
,,,,,,,,,,,,,,,,,,,150520000,15,San Luis Potos�í,52,Ciudad Fern�ández
,,,,,,,,,,,,,,,,,,,150540000,15,San Luis Potos�í,54,Ciudad Valles
,,,,,,,,,,,,,,,,,,,150570000,15,San Luis Potos�í,57,Coxcatl�án
,,,,,,,,,,,,,,,,,,,150580000,15,San Luis Potos�í,58,Charcas
,,,,,,,,,,,,,,,,,,,150590000,15,San Luis Potos�í,59,Lagunillas
,,,,,,,,,,,,,,,,,,,150600000,15,San Luis Potos�í,60,Mexquitic de Carmona
,,,,,,,,,,,,,,,,,,,150610000,15,San Luis Potos�í,61,Moctezuma
,,,,,,,,,,,,,,,,,,,150620000,15,San Luis Potos�í,62,San Luis Potos�í
,,,,,,,,,,,,,,,,,,,150640000,15,San Luis Potos�í,64,San Mart�ín Chalchicuautla
,,,,,,,,,,,,,,,,,,,150700000,15,San Luis Potos�í,70,Santa Catarina
,,,,,,,,,,,,,,,,,,,150750000,15,San Luis Potos�í,75,Tamasopo
,,,,,,,,,,,,,,,,,,,150760000,15,San Luis Potos�í,76,Tamazunchale
,,,,,,,,,,,,,,,,,,,150790000,15,San Luis Potos�í,79,Tamu�ín
,,,,,,,,,,,,,,,,,,,150810000,15,San Luis Potos�í,81,Villa de Ramos
,,,,,,,,,,,,,,,,,,,150850000,15,San Luis Potos�í,85,Villa de Reyes
,,,,,,,,,,,,,,,,,,,150870000,15,San Luis Potos�í,87,Villa Ju�árez
,,,,,,,,,,,,,,,,,,,150880000,15,San Luis Potos�í,88,Xilitla
,,,,,,,,,,,,,,,,,,,150900000,15,San Luis Potos�í,90,Matlapa
,,,,,,,,,,,,,,,,,,,150910000,15,Sinaloa,91,Ahome
,,,,,,,,,,,,,,,,,,,150940000,15,Sinaloa,94,Angostura
,,,,,,,,,,,,,,,,,,,150950000,15,Sinaloa,95,Culiac�án
,,,,,,,,,,,,,,,,,,,150970000,15,Sinaloa,97,Choix
,,,,,,,,,,,,,,,,,,,150990000,15,Sinaloa,99,Elota
,,,,,,,,,,,,,,,,,,,151000000,15,Sinaloa,100,El Fuerte
,,,,,,,,,,,,,,,,,,,151010000,15,Sinaloa,101,Guasave
,,,,,,,,,,,,,,,,,,,151030000,15,Sinaloa,103,Mazatl�án
,,,,,,,,,,,,,,,,,,,151040000,15,Sinaloa,104,Sinaloa
,,,,,,,,,,,,,,,,,,,151050000,15,Sinaloa,105,Navolato
,,,,,,,,,,,,,,,,,,,151060000,15,Sonora,106,Alamos
,,,,,,,,,,,,,,,,,,,151080000,15,Sonora,108,Caborca
,,,,,,,,,,,,,,,,,,,151090000,15,Sonora,109,Cajeme
,,,,,,,,,,,,,,,,,,,151100000,15,Sonora,110,Empalme
,,,,,,,,,,,,,,,,,,,151110000,15,Sonora,111,Etchojoa
,,,,,,,,,,,,,,,,,,,151120000,15,Sonora,112,Guaymas
,,,,,,,,,,,,,,,,,,,151130000,15,Sonora,113,Hermosillo
,,,,,,,,,,,,,,,,,,,151140000,15,Sonora,114,Huatabampo
,,,,,,,,,,,,,,,,,,,151150000,15,Sonora,115,Imuris
,,,,,,,,,,,,,,,,,,,151180000,15,Sonora,118,Magdalena
,,,,,,,,,,,,,,,,,,,151200000,15,Sonora,120,Navojoa
,,,,,,,,,,,,,,,,,,,151210000,15,Sonora,121,Nogales
,,,,,,,,,,,,,,,,,,,151220000,15,Sonora,122,San Luis R�ío Colorado
,,,,,,,,,,,,,,,,,,,151230000,15,Sonora,123,Y�écora
,,,,,,,,,,,,,,,,,,,151240000,15,Tabasco,124,Balanc�án
,,,,,,,,,,,,,,,,,,,160090000,16,Tabasco,9,C�árdenas
,,,,,,,,,,,,,,,,,,,160140000,16,Tabasco,14,Centla
,,,,,,,,,,,,,,,,,,,160150000,16,Tabasco,15,Centro
,,,,,,,,,,,,,,,,,,,160170000,16,Tabasco,17,Comalcalco
,,,,,,,,,,,,,,,,,,,160190000,16,Tabasco,19,Cunduac�án
,,,,,,,,,,,,,,,,,,,160200000,16,Tabasco,20,Huimanguillo
,,,,,,,,,,,,,,,,,,,160220000,16,Tabasco,22,Jonuta
,,,,,,,,,,,,,,,,,,,160270000,16,Tabasco,27,Macuspana
,,,,,,,,,,,,,,,,,,,160330000,16,Tabasco,33,Nacajuca
,,,,,,,,,,,,,,,,,,,160340000,16,Tabasco,34,Para�íso
,,,,,,,,,,,,,,,,,,,160360000,16,Tabasco,36,Tacotalpa
,,,,,,,,,,,,,,,,,,,160380000,16,Tabasco,38,Tenosique
,,,,,,,,,,,,,,,,,,,160430000,16,Tamaulipas,43,Aldama
,,,,,,,,,,,,,,,,,,,160470000,16,Tamaulipas,47,Altamira
,,,,,,,,,,,,,,,,,,,160500000,16,Tamaulipas,50,Antiguo Morelos
,,,,,,,,,,,,,,,,,,,160520000,16,Tamaulipas,52,G�ü�émez
,,,,,,,,,,,,,,,,,,,160530000,16,Tamaulipas,53,Hidalgo
,,,,,,,,,,,,,,,,,,,160570000,16,Tamaulipas,57,El Mante
,,,,,,,,,,,,,,,,,,,160620000,16,Tamaulipas,62,Ocampo
,,,,,,,,,,,,,,,,,,,160660000,16,Tamaulipas,66,Padilla
,,,,,,,,,,,,,,,,,,,160670000,16,Tamaulipas,67,Soto la Marina
,,,,,,,,,,,,,,,,,,,160690000,16,Tamaulipas,69,Tula
,,,,,,,,,,,,,,,,,,,160710000,16,Tamaulipas,71,Victoria
,,,,,,,,,,,,,,,,,,,160750000,16,Tamaulipas,75,Villagr�án
,,,,,,,,,,,,,,,,,,,160760000,16,Tlaxcala,76,Apizaco
,,,,,,,,,,,,,,,,,,,160770000,16,Tlaxcala,77,Calpulalpan
,,,,,,,,,,,,,,,,,,,160790000,16,Tlaxcala,79,Cuapiaxtla
,,,,,,,,,,,,,,,,,,,160810000,16,Tlaxcala,81,Chiautempan
,,,,,,,,,,,,,,,,,,,160820000,16,Tlaxcala,82,Huamantla
,,,,,,,,,,,,,,,,,,,160860000,16,Tlaxcala,86,Ixtacuixtla de Mariano Matamoros
,,,,,,,,,,,,,,,,,,,160870000,16,Tlaxcala,87,Tepetitla de Lardiz�ábal
,,,,,,,,,,,,,,,,,,,160890000,16,Tlaxcala,89,Nat�ívitas
,,,,,,,,,,,,,,,,,,,160930000,16,Tlaxcala,93,Panotla
,,,,,,,,,,,,,,,,,,,160980000,16,Tlaxcala,98,San Pablo del Monte
,,,,,,,,,,,,,,,,,,,161020000,16,Tlaxcala,102,Santa Cruz Tlaxcala
,,,,,,,,,,,,,,,,,,,161040000,16,Tlaxcala,104,Teolocholco
,,,,,,,,,,,,,,,,,,,161050000,16,Tlaxcala,105,Terrenate
,,,,,,,,,,,,,,,,,,,161070000,16,Tlaxcala,107,Tetla de la Solidaridad
,,,,,,,,,,,,,,,,,,,161080000,16,Tlaxcala,108,Tetlatlahuca
,,,,,,,,,,,,,,,,,,,161100000,16,Tlaxcala,110,Tlaxcala
,,,,,,,,,,,,,,,,,,,161110000,16,Tlaxcala,111,Tlaxco
,,,,,,,,,,,,,,,,,,,161120000,16,Tlaxcala,112,Totolac
,,,,,,,,,,,,,,,,,,,170020000,17,Tlaxcala,2,Tzompantepec
,,,,,,,,,,,,,,,,,,,170040000,17,Tlaxcala,4,Xaloztoc
,,,,,,,,,,,,,,,,,,,170050000,17,Tlaxcala,5,Yauhquemehcan
,,,,,,,,,,,,,,,,,,,170060000,17,Veracruz de Ignacio de la Llave,6,Acultzingo
,,,,,,,,,,,,,,,,,,,170070000,17,Veracruz de Ignacio de la Llave,7,Carrillo Puerto
,,,,,,,,,,,,,,,,,,,170080000,17,Veracruz de Ignacio de la Llave,8,Coatzacoalcos
,,,,,,,,,,,,,,,,,,,170090000,17,Veracruz de Ignacio de la Llave,9,C�órdoba
,,,,,,,,,,,,,,,,,,,170110000,17,Veracruz de Ignacio de la Llave,11,Cosautl�án de Carvajal
,,,,,,,,,,,,,,,,,,,170120000,17,Veracruz de Ignacio de la Llave,12,Las Choapas
,,,,,,,,,,,,,,,,,,,170140000,17,Veracruz de Ignacio de la Llave,14,Chocam�án
,,,,,,,,,,,,,,,,,,,170150000,17,Veracruz de Ignacio de la Llave,15,Huayacocotla
,,,,,,,,,,,,,,,,,,,170170000,17,Veracruz de Ignacio de la Llave,17,Xalapa
,,,,,,,,,,,,,,,,,,,170180000,17,Veracruz de Ignacio de la Llave,18,Mecatl�án
,,,,,,,,,,,,,,,,,,,170190000,17,Veracruz de Ignacio de la Llave,19,Nogales
,,,,,,,,,,,,,,,,,,,170200000,17,Veracruz de Ignacio de la Llave,20,Sayula de Alem�án
,,,,,,,,,,,,,,,,,,,170240000,17,Veracruz de Ignacio de la Llave,24,Soledad de Doblado
,,,,,,,,,,,,,,,,,,,170250000,17,Veracruz de Ignacio de la Llave,25,Castillo de Teayo
,,,,,,,,,,,,,,,,,,,170260000,17,Veracruz de Ignacio de la Llave,26,�Álamo Temapache
,,,,,,,,,,,,,,,,,,,170270000,17,Veracruz de Ignacio de la Llave,27,Tequila
,,,,,,,,,,,,,,,,,,,170280000,17,Veracruz de Ignacio de la Llave,28,Tihuatl�án
,,,,,,,,,,,,,,,,,,,170290000,17,Veracruz de Ignacio de la Llave,29,Tlacolulan
,,,,,,,,,,,,,,,,,,,170300000,17,Veracruz de Ignacio de la Llave,30,Tonay�án
,,,,,,,,,,,,,,,,,,,170310000,17,Veracruz de Ignacio de la Llave,31,Veracruz
,,,,,,,,,,,,,,,,,,,180010000,18,Veracruz de Ignacio de la Llave,1,Zontecomatl�án de L�ópez y Fuentes
,,,,,,,,,,,,,,,,,,,180040000,18,Veracruz de Ignacio de la Llave,4,San Rafael
,,,,,,,,,,,,,,,,,,,180050000,18,Yucat�án,5,Abal�á
,,,,,,,,,,,,,,,,,,,180060000,18,Yucat�án,6,Conkal
,,,,,,,,,,,,,,,,,,,180070000,18,Yucat�án,7,Chemax
,,,,,,,,,,,,,,,,,,,180080000,18,Yucat�án,8,Chichimil�á
,,,,,,,,,,,,,,,,,,,180090000,18,Yucat�án,9,Espita
,,,,,,,,,,,,,,,,,,,180100000,18,Yucat�án,10,Hom�ún
,,,,,,,,,,,,,,,,,,,180110000,18,Yucat�án,11,M�érida
,,,,,,,,,,,,,,,,,,,180120000,18,Yucat�án,12,Motul
,,,,,,,,,,,,,,,,,,,180140000,18,Yucat�án,14,Progreso
,,,,,,,,,,,,,,,,,,,180150000,18,Yucat�án,15,Tecoh
,,,,,,,,,,,,,,,,,,,180160000,18,Yucat�án,16,Tekax
,,,,,,,,,,,,,,,,,,,180170000,18,Yucat�án,17,Temoz�ón
,,,,,,,,,,,,,,,,,,,180180000,18,Yucat�án,18,Ticul
,,,,,,,,,,,,,,,,,,,180200000,18,Yucat�án,20,Tizim�ín
,,,,,,,,,,,,,,,,,,,190010000,19,Yucat�án,1,Tzucacab
,,,,,,,,,,,,,,,,,,,190040000,19,Yucat�án,4,Um�án
,,,,,,,,,,,,,,,,,,,190050000,19,Yucat�án,5,Valladolid
,,,,,,,,,,,,,,,,,,,190060000,19,Zacatecas,6,Fresnillo
,,,,,,,,,,,,,,,,,,,190090000,19,Zacatecas,9,General P�ánfilo Natera
,,,,,,,,,,,,,,,,,,,190100000,19,Zacatecas,10,Guadalupe
,,,,,,,,,,,,,,,,,,,190140000,19,Zacatecas,14,Jerez
,,,,,,,,,,,,,,,,,,,190160000,19,Zacatecas,16,Juchipila
,,,,,,,,,,,,,,,,,,,190170000,19,Zacatecas,17,Miguel Auza
,,,,,,,,,,,,,,,,,,,190180000,19,Zacatecas,18,P�ánuco
,,,,,,,,,,,,,,,,,,,190190000,19,Zacatecas,19,Pinos
,,,,,,,,,,,,,,,,,,,190210000,19,Zacatecas,21,Sain Alto
,,,,,,,,,,,,,,,,,,,190220000,19,Zacatecas,22,Sombrerete
,,,,,,,,,,,,,,,,,,,190250000,19,Zacatecas,25,Tabasco
,,,,,,,,,,,,,,,,,,,190260000,19,Zacatecas,26,Valpara�íso
,,,,,,,,,,,,,,,,,,,190270000,19,Zacatecas,27,Vetagrande
,,,,,,,,,,,,,,,,,,,190300000,19,Zacatecas,30,Villa de Cos
,,,,,,,,,,,,,,,,,,,190310000,19,Zacatecas,31,Villanueva
,,,,,,,,,,,,,,,,,,,190330000,19,Baja California Sur,33,Loreto
,,,,,,,,,,,,,,,,,,,190340000,19,Campeche,34,Calkin�í
,,,,,,,,,,,,,,,,,,,190380000,19,Campeche,38,Tenabo
,,,,,,,,,,,,,,,,,,,190390000,19,Coahuila de Zaragoza,39,Acu�ña
,,,,,,,,,,,,,,,,,,,190410000,19,Coahuila de Zaragoza,41,Allende
,,,,,,,,,,,,,,,,,,,190420000,19,Coahuila de Zaragoza,42,Frontera
,,,,,,,,,,,,,,,,,,,190440000,19,Coahuila de Zaragoza,44,Monclova
,,,,,,,,,,,,,,,,,,,190450000,19,Coahuila de Zaragoza,45,Morelos
,,,,,,,,,,,,,,,,,,,190460000,19,Coahuila de Zaragoza,46,Nadadores
,,,,,,,,,,,,,,,,,,,190480000,19,Coahuila de Zaragoza,48,Piedras Negras
,,,,,,,,,,,,,,,,,,,190490000,19,Coahuila de Zaragoza,49,Progreso
,,,,,,,,,,,,,,,,,,,190500000,19,Coahuila de Zaragoza,50,Sabinas
,,,,,,,,,,,,,,,,,,,200020000,20,Coahuila de Zaragoza,2,San Buenaventura
,,,,,,,,,,,,,,,,,,,200050000,20,Coahuila de Zaragoza,5,San Juan de Sabinas
,,,,,,,,,,,,,,,,,,,200140000,20,Coahuila de Zaragoza,14,Viesca
,,,,,,,,,,,,,,,,,,,200190000,20,Coahuila de Zaragoza,19,Villa Uni�ón
,,,,,,,,,,,,,,,,,,,200230000,20,Coahuila de Zaragoza,23,Zaragoza
,,,,,,,,,,,,,,,,,,,200300000,20,Chiapas,30,Acacoyagua
,,,,,,,,,,,,,,,,,,,200340000,20,Chiapas,34,Acapetahua
,,,,,,,,,,,,,,,,,,,200410000,20,Chiapas,41,Amatenango de la Frontera
,,,,,,,,,,,,,,,,,,,200430000,20,Chiapas,43,Cintalapa
,,,,,,,,,,,,,,,,,,,200590000,20,Chiapas,59,Coapilla
,,,,,,,,,,,,,,,,,,,200640000,20,Chiapas,64,Copainal�á
,,,,,,,,,,,,,,,,,,,200670000,20,Chiapas,67,Chanal
,,,,,,,,,,,,,,,,,,,200790000,20,Chiapas,79,Chicoas�én
,,,,,,,,,,,,,,,,,,,200810000,20,Chiapas,81,Huehuet�án
,,,,,,,,,,,,,,,,,,,200830000,20,Chiapas,83,Jiquipilas
,,,,,,,,,,,,,,,,,,,200850000,20,Chiapas,85,Jitotol
,,,,,,,,,,,,,,,,,,,201070000,20,Chiapas,107,Mazapa de Madero
,,,,,,,,,,,,,,,,,,,201340000,20,Chiapas,134,Palenque
,,,,,,,,,,,,,,,,,,,201410000,20,Chiapas,141,Pantelh�ó
,,,,,,,,,,,,,,,,,,,201500000,20,Chiapas,150,Pijijiapan
,,,,,,,,,,,,,,,,,,,201840000,20,Chiapas,184,Villa Comaltitl�án
,,,,,,,,,,,,,,,,,,,201880000,20,Chiapas,188,Las Rosas
,,,,,,,,,,,,,,,,,,,201900000,20,Chiapas,190,San Fernando
,,,,,,,,,,,,,,,,,,,201980000,20,Chiapas,198,Tonal�á
,,,,,,,,,,,,,,,,,,,202070000,20,Chiapas,207,Tuxtla Guti�érrez
,,,,,,,,,,,,,,,,,,,202530000,20,Chiapas,253,Tuxtla Chico
,,,,,,,,,,,,,,,,,,,202850000,20,Chiapas,285,Tuzant�án
,,,,,,,,,,,,,,,,,,,202950000,20,Chiapas,295,Venustiano Carranza
,,,,,,,,,,,,,,,,,,,202980000,20,Chiapas,298,Zinacant�án
,,,,,,,,,,,,,,,,,,,203000000,20,Chiapas,300,San Juan Cancuc
,,,,,,,,,,,,,,,,,,,203090000,20,Chihuahua,309,Camargo
,,,,,,,,,,,,,,,,,,,203100000,20,Chihuahua,310,Chihuahua
,,,,,,,,,,,,,,,,,,,203130000,20,Chihuahua,313,Galeana
,,,,,,,,,,,,,,,,,,,203150000,20,Chihuahua,315,Guachochi
,,,,,,,,,,,,,,,,,,,203240000,20,Chihuahua,324,Guadalupe
,,,,,,,,,,,,,,,,,,,203300000,20,Chihuahua,330,Guadalupe y Calvo
,,,,,,,,,,,,,,,,,,,203340000,20,Chihuahua,334,Hidalgo del Parral
,,,,,,,,,,,,,,,,,,,203440000,20,Chihuahua,344,Ignacio Zaragoza
,,,,,,,,,,,,,,,,,,,203460000,20,Chihuahua,346,Janos
,,,,,,,,,,,,,,,,,,,203500000,20,Chihuahua,350,Jim�énez
,,,,,,,,,,,,,,,,,,,203590000,20,Chihuahua,359,Ju�árez
,,,,,,,,,,,,,,,,,,,203750000,20,Chihuahua,375,Julimes
,,,,,,,,,,,,,,,,,,,203850000,20,Chihuahua,385,Matach�í
,,,,,,,,,,,,,,,,,,,203900000,20,Chihuahua,390,Meoqui
,,,,,,,,,,,,,,,,,,,203990000,20,Chihuahua,399,Nuevo Casas Grandes
,,,,,,,,,,,,,,,,,,,204130000,20,Chihuahua,413,Praxedis G. Guerrero
,,,,,,,,,,,,,,,,,,,204180000,20,Chihuahua,418,Rosales
,,,,,,,,,,,,,,,,,,,204310000,20,Chihuahua,431,El Tule
,,,,,,,,,,,,,,,,,,,204390000,20,Ciudad de M�éxico,439,Azcapotzalco
,,,,,,,,,,,,,,,,,,,204540000,20,Ciudad de M�éxico,454,Coyoac�án
,,,,,,,,,,,,,,,,,,,204660000,20,Ciudad de M�éxico,466,Gustavo A. Madero
,,,,,,,,,,,,,,,,,,,204720000,20,Ciudad de M�éxico,472,Iztacalco
,,,,,,,,,,,,,,,,,,,204740000,20,Ciudad de M�éxico,474,Iztapalapa
,,,,,,,,,,,,,,,,,,,204820000,20,Ciudad de M�éxico,482,La Magdalena Contreras
,,,,,,,,,,,,,,,,,,,204850000,20,Ciudad de M�éxico,485,�Álvaro Obreg�ón
,,,,,,,,,,,,,,,,,,,205150000,20,Ciudad de M�éxico,515,Benito Ju�árez
,,,,,,,,,,,,,,,,,,,205170000,20,Ciudad de M�éxico,517,Cuauht�émoc
,,,,,,,,,,,,,,,,,,,205190000,20,Ciudad de M�éxico,519,Miguel Hidalgo
,,,,,,,,,,,,,,,,,,,205250000,20,Ciudad de M�éxico,525,Venustiano Carranza
,,,,,,,,,,,,,,,,,,,205260000,20,Durango,526,El Oro
,,,,,,,,,,,,,,,,,,,205270000,20,Durango,527,San Juan del R�ío
,,,,,,,,,,,,,,,,,,,205490000,20,Guanajuato,549,Manuel Doblado
,,,,,,,,,,,,,,,,,,,205510000,20,Guanajuato,551,Jaral del Progreso
,,,,,,,,,,,,,,,,,,,205530000,20,Guanajuato,553,Pur�ísima del Rinc�ón
,,,,,,,,,,,,,,,,,,,205650000,20,Guanajuato,565,Valle de Santiago
,,,,,,,,,,,,,,,,,,,210040000,21,Guanajuato,4,Victoria
,,,,,,,,,,,,,,,,,,,210130000,21,Guanajuato,13,Villagr�án
,,,,,,,,,,,,,,,,,,,210140000,21,Guerrero,14,Ahuacuotzingo
,,,,,,,,,,,,,,,,,,,210150000,21,Guerrero,15,Atoyac de �Álvarez
,,,,,,,,,,,,,,,,,,,210160000,21,Guerrero,16,Benito Ju�árez
,,,,,,,,,,,,,,,,,,,210190000,21,Guerrero,19,Buenavista de Cu�éllar
,,,,,,,,,,,,,,,,,,,210340000,21,Guerrero,34,Cocula
,,,,,,,,,,,,,,,,,,,210410000,21,Guerrero,41,Copanatoyac
,,,,,,,,,,,,,,,,,,,210430000,21,Guerrero,43,Cuajinicuilapa
,,,,,,,,,,,,,,,,,,,210450000,21,Guerrero,45,Chilapa de �Álvarez
,,,,,,,,,,,,,,,,,,,210480000,21,Guerrero,48,Iguala de la Independencia
,,,,,,,,,,,,,,,,,,,210510000,21,Guerrero,51,Igualapa
,,,,,,,,,,,,,,,,,,,210530000,21,Guerrero,53,Tixtla de Guerrero
,,,,,,,,,,,,,,,,,,,210630000,21,Guerrero,63,Tlacoachistlahuaca
,,,,,,,,,,,,,,,,,,,210660000,21,Guerrero,66,Tlapa de Comonfort
,,,,,,,,,,,,,,,,,,,210710000,21,Guerrero,71,Zitlala
,,,,,,,,,,,,,,,,,,,210740000,21,Guerrero,74,Marquelia
,,,,,,,,,,,,,,,,,,,210750000,21,Hidalgo,75,Acaxochitl�án
,,,,,,,,,,,,,,,,,,,210760000,21,Hidalgo,76,El Arenal
,,,,,,,,,,,,,,,,,,,210790000,21,Hidalgo,79,Atitalaquia
,,,,,,,,,,,,,,,,,,,210900000,21,Hidalgo,90,Cuautepec de Hinojosa
,,,,,,,,,,,,,,,,,,,210990000,21,Hidalgo,99,Chilcuautla
,,,,,,,,,,,,,,,,,,,211040000,21,Hidalgo,104,Emiliano Zapata
,,,,,,,,,,,,,,,,,,,211060000,21,Hidalgo,106,Jaltoc�án
,,,,,,,,,,,,,,,,,,,211100000,21,Hidalgo,110,La Misi�ón
,,,,,,,,,,,,,,,,,,,211110000,21,Hidalgo,111,Mixquiahuala de Ju�árez
,,,,,,,,,,,,,,,,,,,211140000,21,Hidalgo,114,San Agust�ín Tlaxiaca
,,,,,,,,,,,,,,,,,,,211150000,21,Hidalgo,115,Santiago de Anaya
,,,,,,,,,,,,,,,,,,,211190000,21,Hidalgo,119,Tecozautla
,,,,,,,,,,,,,,,,,,,211290000,21,Hidalgo,129,Tenango de Doria
,,,,,,,,,,,,,,,,,,,211320000,21,Hidalgo,132,Tepeapulco
,,,,,,,,,,,,,,,,,,,211360000,21,Hidalgo,136,Tepetitl�án
,,,,,,,,,,,,,,,,,,,211390000,21,Hidalgo,139,Tlahuelilpan
,,,,,,,,,,,,,,,,,,,211400000,21,Hidalgo,140,Tlaxcoapan
,,,,,,,,,,,,,,,,,,,211420000,21,Hidalgo,142,Tula de Allende
,,,,,,,,,,,,,,,,,,,211430000,21,Hidalgo,143,Zapotl�án de Ju�árez
,,,,,,,,,,,,,,,,,,,211530000,21,Jalisco,153,Acatl�án de Ju�árez
,,,,,,,,,,,,,,,,,,,211540000,21,Jalisco,154,Ameca
,,,,,,,,,,,,,,,,,,,211560000,21,Jalisco,156,El Arenal
,,,,,,,,,,,,,,,,,,,211600000,21,Jalisco,160,La Barca
,,,,,,,,,,,,,,,,,,,211710000,21,Jalisco,171,Casimiro Castillo
,,,,,,,,,,,,,,,,,,,211740000,21,Jalisco,174,Cihuatl�án
,,,,,,,,,,,,,,,,,,,211770000,21,Jalisco,177,Zapotl�án el Grande
,,,,,,,,,,,,,,,,,,,211790000,21,Jalisco,179,El Grullo
,,,,,,,,,,,,,,,,,,,211800000,21,Jalisco,180,Guadalajara
,,,,,,,,,,,,,,,,,,,211820000,21,Jalisco,182,La Huerta
,,,,,,,,,,,,,,,,,,,211860000,21,Jalisco,186,Ixtlahuac�án del R�ío
,,,,,,,,,,,,,,,,,,,211970000,21,Jalisco,197,Jocotepec
,,,,,,,,,,,,,,,,,,,212050000,21,Jalisco,205,Juchitl�án
